Designator,Package,Quantity,Designation,Supplier,Ref
"T1,T2",T50_Coupler,2,FT50A-61,Ebay,
D5,D_DO-35_SOD27_P2.54mm_Vertical_KathodeUp,1,1N4148, ,
"K13,K11",RelayDPDT01,2,EC2-3NU,Farnell,2360815
"K5,K4,K3,K2,K12,K1,K10,K9,K8,K7,K6",RelayDPDT02,11,AXICOM D2N,Farnell,1174987
J4,U.FL_Hirose_U.FL-R-SMT-1_Vertical,1,RF1,Farnell,3908021
"R41,R40",R_0603_1608Metric,2,0R,,
J3,U.FL_Hirose_U.FL-R-SMT-1_Vertical,1,RF3,Farnell,3908021
U4,TSSOP-16_4.4x5mm_P0.65mm,1,ULN2003,Farnell,3009697
Q3,SOT-23,1,IRLML6402,Farnell,9103503
Q4,SOT-23,1,DTC144E,Mouser,755-DTC144EU3HZGT106 
J8,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Fan,,
J7,"TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal",1,12V,,
R39,R_0805_2012Metric,1,5k6,Mouser,71-CRCW08055K60FKEA#
"L3,L9",T50_V_THT,2,680n,GQRP sales,
U2,MAX11613,1,MAX11645,Farnell,2513426
U6,MSOP-8_3x3mm_P0.65mm,1,MCP4561,Mouser,579-MCP4561T-103E/MS
U7,SOT-23-5,1,INA193,Farnell,3005325
"R14,R35",R_0805_2012Metric,2,JNC,,
R34,R_0612_1632Metric,1,0.036,Mouser,667-ERJ-B2CFR036V
"C70, c71, c75, c76, c59, c62, c56",C_0805_2012Metric,7,100n,Mouser,810-C2012X7R2A104K
"C78,C81,C82,C1,C2,C3,C4,C5,C18,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C50,C51,C52,C53,C54,C55,C57,C58,C60,C63,C64,C65,C68,C73",C_0805_2012Metric,36,100n,Farnell,2320839
"C79,C80",C_0805_2012Metric,2,4n7,Mouser,80-C0805C472J3GECLR
C83,C_0805_2012Metric,1,DNI,,
"FB4,FB5,FB6,FB7,FB8,FB1,FB2,FB3,FB9,FB10,FB11,FB12,FB13,FB14,FB15,FB16,FB17,FB18,FB19",L_0805_2012Metric,19,FB,Farnell,1800367
J2,PinSocket_1x20_P2.54mm_Vertical,1,HL2,,
"R4,R11",R_0805_2012Metric,2,56k,Mouser,652-CR0805JW-563ELF
"R7,R6,R9,R8,R25,R27,R28,R30",R_2512_6332Metric,8,100,Mouser,279-CRGP2512F100R
J6,"TerminalBlock_Phoenix_PT-1,5-2-5.0-H_1x02_P5.00mm_Horizontal",1,50VDC,,
R29,R_0805_2012Metric,1,2k,Mouser,71-CRCW08052K00FKEAC
T3,SignalCommunications-WE-DCT,1,744851330,Mouser,710-744851330
L14,SignalCommunications-WE-PF_7427929XXX,1,7427929112,Mouser,710-7427929112
"L1,L7",T50_V_THT,2,224n,GQRP sales,
"L2,L8",T50_V_THT,2,385n,,
"L4,L10",T50_V_THT,2,1.1u,,
"L5,L11",T50_V_THT,2,1.7u,,
